품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
202401981,오소플루코프산,Orthoflu Cough Powder,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2024-08-14,의약품,5064,정상,,아세트아미노펜/DL-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물,"에틸셀룰로오스,트리에틸시트르산염,히프로멜로오스,자일리톨,수크랄로스,스테아르산마그네슘,콜로이드성이산화규소,효소처리스테비아,탤크,조합향료(천연베리허브향오일(CMB)),조합향료(천연베리과일향분말)",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8800789000107,8800789000114,8800789000121",R05X,,,,Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate
202402955,오소플루코프캡슐,Orthoflu Cough Cap.,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2024-12-13,의약품,5066,정상,,DL-메틸에페드린염산염/구아이페네신/노스카핀염산염수화물/아세트아미노펜,"조합향료(천연베리허브향(CMHD)),저치환도히드록시프로필셀룰로오스,알긴산나트륨,스테아르산마그네슘,경질무수규산,미결정셀룰로오스PH101,미결정셀룰로오스PH102,캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,18.6,6.2,N,"8800789001302,8800789001319",R05X,,,,DL-Methylephedrine Hydrochloride/Guaifenesin/Noscapine Hydrochloride Hydrate/Acetaminophen
202401768,오소플루콜드산,Orthoflu-Cold Speed Powder,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2024-07-19,의약품,5062,정상,,아세트아미노펜/DL-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염,"에틸셀룰로오스,트리에틸시트르산염,자일리톨,스테아르산마그네슘,콜로이드성이산화규소,효소처리스테비아,탤크,조합향료(천연베리과일향분말)",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8800789000206,8800789000213,8800789000220,8800789000237",R05X,,,,Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Chlorpheniramine Maleate
202501496,오소플루콜드캡슐,Orthoflu Cold Capsule,주식회사 제이비케이랩,"JBKLAB Co., Ltd",2025-06-18,의약품,5069,정상,,아세트아미노펜/클로르페니라민말레산염/슈도에페드린염산염/구아이페네신/노스카핀염산염수화물/DL-메틸에페드린염산염/카페인무수물,"저치환도히드록시프로필셀룰로오스,알긴산나트륨,미결정셀룰로오스,스테아르산마그네슘,경질무수규산,조합향료(천연베리허브향(CMC)),캡슐",,일반의약품,완제의약품,신고,제조,,장방형,,,18.5,6.2,N,"8800789002019,8800789002002",R05X,,,,Acetaminophen/Chlorpheniramine Maleate/Pseudoephedrine Hydrochloride/Guaifenesin/Noscapine Hydrochloride Hydrate/DL-Methylephedrine Hydrochloride/Anhydrous Caffeine
202203271,오스틴갈근탕플러스액,Austin Galgeuntang Plus Liquid,오스틴제약(주),"Austin pharm.co.,Ltd",2022-08-12,의약품,5123,정상,,작약/육계/감초/갈근/마황/대추/건강/아세트아미노펜,"시트르산수화물,벤조산나트륨,이성화당55%,l-멘톨,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806543055208,8806543055215,8806543055222",R05X,,202203271,,Peony Root/Cinnamon Bark/Licorice/Pueraria Root/Ephedra Herb/Jujube/Ginger/Acetaminophen
201501446,오프콜드연질캡슐(수출용),Off-Cold Soft cap.,한국프라임제약(주),"KOREA PRIME PHARM CO.,LTD",2015-03-19,의약품,870,정상,,아세트아미노펜/구아이페네신/슈도에페드린염산염/DL-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/트리프롤리딘염산염수화물,"프로필렌글리콜,폴리에틸렌글리콜400,젤라틴,포비돈,소르비톨소르비탄 액,안나토색소,정제수",,일반의약품,완제의약품,신고,제조,,타원형,,,15,10,N,"8806636067408,8806636067415",R05X,,201501446,,Acetaminophen/Guaifenesin/Pseudoephedrine Hydrochloride/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Triprolidine Hydrochloride Hydrate
200201855,올바펜정,Allbapen Tab.,하이플생명과학(주),"Highfly Life Science Co., Ltd.",2002-10-18,의약품,166,정상,,아세트아미노펜/푸르설티아민,"히프로멜로오스,황색4호,유당수화물,폴리에틸렌글리콜6000,산화티탄,크로스카멜로오스나트륨,스테아르산마그네슘,경질무수규산,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,타원형,,,14.1,8.3,N,"8806641010406,8806641010413",N02BE51,,200201855,,Acetaminophen/Fursultiamine
200712331,올코엔정(수출용),Allcoen Tab.,한국코러스(주),"Hankook Korus Pharm. Co., Ltd",2007-11-12,의약품,215,정상,,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,히프로멜로오스2910,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,콜로이드성이산화규소,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,장방형,,,15.8,8.6,N,"8806472020100,8806472020117,8806472020124,8806472020131,8806472020148,8806472020155",R05X,,,,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate
200805739,올펜세미정,OLFEN-SEMI TAB.,(주)셀릭스,NEWGENPHARM INC.,2008-05-22,의약품,630,정상,,아세트아미노펜/트라마돌염산염,"오파드라이흰색(03B28796),황색산화철,스테아르산마그네슘,전호화전분,분말셀룰로오스,옥수수전분,전분글리콜산나트륨,적색산화철",,전문의약품,완제의약품,신고,제조,,장방형,,,12,5.4,N,"8806462024606,8806462024613,8806462024620",N02AJ13,200805739,,,Acetaminophen/Tramadol Hydrochloride
200801284,올펜정,OLFEN TAB.,(주)셀릭스,NEWGENPHARM INC.,2007-11-12,의약품,628,정상,,아세트아미노펜/트라마돌염산염,"오파드라이흰색(03B28796),황색산화철,스테아르산마그네슘,전호화전분,분말셀룰로오스,옥수수전분,전분글리콜산나트륨,적색산화철",,전문의약품,완제의약품,신고,제조,,장방형,,,15.4,6.3,N,"8806462024507,8806462024514,8806462024521,8806462024538",N02AJ13,200801284,,,Acetaminophen/Tramadol Hydrochloride
